incident_id,call_date,call_time,response_time_minutes,incident_type,precinct,neighborhood,outcome
5001,08/02/23,3:01,49,Burglary,P4,North West,No Action
5002,05/14/2022,11:44 AM,,Theft,P3,NE,resolved
5003,04/21/2023,8:51,57,Traffic Stop,P-1,NE,ARREST
5004,11/20/2021,3:05,8,Noise Complaint,Precinct 3,North West,resolved
5005,06/10/2020,2:02 AM,42,Burglary,P2,North East,Arrest
5006,04/21/21,3:24,31,Domestic Disturbance,P-2,North West,No Action
5007,07-24-23,5:34,12,Burglary,P4,NE,Report Taken
5008,10-26-21,1:14,4,Domestic Disturbance,Precinct 2,NE,Report Taken
5009,10-19-22,12:35 AM,60,Theft,P-2,South East,No Action
5010,03/28/22,11:14,,Domestic Disturbance,P-1,South East,No Action
5011,05/10/2020,12:24,31,Noise Complaint,Precinct 1,North East,ARREST
5012,08/05/23,10:07,12,Burglary,P-2,N.W.,No Action
5013,08/05/20,20:19,55,Domestic Disturbance,P4,NW,No Action
5014,10/25/21,10:05 AM,25,Noise Complaint,Precinct 3,North West,ARREST
5015,12-26-22,4:08,44,Theft,P3,NE,No Action
5016,11-13-23,6:45,27,Assault,Precinct 1,NE,arrest
5017,05/11/20,11:03 AM,39,Domestic Disturbance,Precinct 1,NW,ARREST
5018,11/07/21,2:32,44,Burglary,Precinct 3,NE,ARREST
5019,08-26-22,13:12,44,Assault,P1,North West,Arrest
5020,04/04/22,8:08 AM,53,Assault,P-1,North East,resolved
5021,05/26/21,2:28,,Theft,P1,North West,ARREST
5022,04/29/21,1:24 AM,15,Traffic Stop,Precinct 3,North East,resolved
5023,11/27/23,4:03 AM,47,Theft,P4,NW,Report Taken
5024,10/04/21,1:03,39,Noise Complaint,P-1,North West,No Action
5025,05/19/2020,21:55,17,Theft,Precinct 1,South East,Report Taken
5026,04/10/23,18:33,18,Domestic Disturbance,P-2,SW,Resolved
5027,05/28/2020,0:29,,Traffic Stop,P-1,SE,Arrest
5028,05/15/2021,11:18,30,Burglary,P4,NW,Report Taken
5029,02-09-23,2:47 AM,44,Theft,P-1,North East,Resolved
5030,05/23/2023,6:45,15,Noise Complaint,Precinct 1,South East,ARREST
5031,07/20/21,1:00,51,Theft,P3,NW,Arrest
5032,06/03/2020,22:57,36,Assault,P-1,NW,Resolved
5033,01/16/2022,9:56 AM,24,Assault,P-1,NE,ARREST
5034,11-28-20,5:56,3,Burglary,P2,North East,arrest
5035,12/07/23,8:22 AM,56,Traffic Stop,P2,NE,Arrest
5036,09-13-23,6:25,,Theft,P3,SE,Arrest
5037,08/24/2020,8:11,,Burglary,Precinct 2,South East,No Action
5038,11/13/22,3:24,38,Noise Complaint,P4,NE,Resolved
5039,06/02/2022,2:42,23,Burglary,P-2,North East,Report Taken
5040,04/16/22,10:25,46,Assault,P-1,North East,resolved
5041,01-27-23,0:19,15,Burglary,P2,SW,ARREST
5042,12/13/20,21:05,34,Domestic Disturbance,P-2,NE,ARREST
5043,02-11-21,4:01,,Burglary,P2,South East,resolved
5044,03-29-22,7:09,,Burglary,P4,SW,Arrest
